日付,借方勘定,借方金額,貸方勘定,貸方金額,備考
2018/06/11,旅費交通費,"12,630",クレジットカード,"12,630",新幹線代 東京から京都
2018/06/11,荷造運賃,"1,685",現金,"1,685",発送料 東京出張荷物送料
2018/06/12,金継仕事材料代・教室運営消耗品費,"1,793",クレジットカード,"1,793",エターナル
2018/06/12,金継仕事材料代・教室運営消耗品費,"4,720",クレジットカード,"4,720",エターナル
2018/06/13,金継仕事材料代・教室運営消耗品費,"1,516",クレジットカード,"1,516",マスキングテープ ナチュラルウェブ
2018/06/13,消耗品費,"1,275",クレジットカード,"1,275",事務用品 のり、小分け袋、クリヤケース
2018/06/13,旅費交通費,"17,800",クレジットカード,"17,800",飛行機代 伊丹⇄新潟9/9、11分 ANA
2018/06/13,新聞図書費 ,"2,600",クレジットカード,"2,600",amazon 本  transit 20号「美しきミャンマーの宝物」
2018/06/13,新聞図書費 ,"1,620",クレジットカード,"1,620",amazon  本「はじめてのミャンマー」
2018/06/13,旅費交通費,"1,320",現金,"1,320",バス代
2018/06/13,金継仕事材料代・教室運営消耗品費,"3,054",現金,"3,054",新潟教室用お菓子 リンツ
2018/06/13,接待交際費,"1,296",クレジットカード,"1,296",土産代 ジンジャーシロップ エフスタイル へ
2018/06/15,荷造運賃,"2,492",現金,"2,492",発送料 新潟出張荷物、くまちゃん宛
2018/06/16,美術館・お寺観覧代・器など(取材・研究費),"5,532",クレジットカード,"5,532",ミャンマーVISA申請
2018/06/16,消耗品費,"172",現金,"172",事務用品 ペンの替芯
2018/06/17,現金,"24,300",エフスタイル教室,"24,300",
2018/06/17,接待交際費,"3,510",現金,"3,510",土産代 おかき等 荒井さん、竹本さん
2018/06/17,接待交際費,"3,000",現金,"3,000",謝礼 大門さんへ エフ靴下
2018/06/18,現金,"14,000",自宅金継仕事,"14,000",ダンスコ荒井さん
2018/06/18,現金,"21,600",エフスタイル教室,"21,600",
2018/06/18,美術館・お寺観覧代・器など(取材・研究費),"20,468",クレジットカード,"20,468",バガン タンデホテル5泊 私分だけ
2018/06/19,現金,"10,000",自宅金継仕事,"10,000",藤本さん ラオスの編みかご繕い代
2018/06/19,地代家賃,"50,000",普通預金(振込など),"50,000",事務所家賃 50%
2018/06/20,水道光熱費,"1,223",クレジットカード,"1,223",電気代 50%
2018/06/21,金継仕事材料代・教室運営消耗品費,"3,035",クレジットカード,"3,035",カッター類 楽天にて
2018/06/22,英会話関係(研修費),"60,000",現金,"60,000",ベネシア英語レッスンチケット代
2018/06/22,会議費(打合せ),"1,300",現金,"1,300",打ち合わせ 直コーヒー
2018/06/23,美術館・お寺観覧代・器など(取材・研究費),"4,500",現金,"4,500",秦さんち料理会
2018/06/23,会議費(打合せ),"2,550",現金,"2,550",打ち合わせ 関さんと オーバカナル
2018/06/23,接待交際費,"766",現金,"766",土産代 秦家料理会 ビール
2018/06/24,旅費交通費,"1,010",現金,"1,010",タクシー代
2018/06/24,旅費交通費,"1,640",クレジットカード,"1,640",タクシー代
2018/06/24,通信費,"4,855",クレジットカード,"4,855",NTT西日本 80%
2018/06/25,消耗品費,"140",現金,"140",EMS用の封筒
2018/06/25,現金,"25,500",好日居教室,"25,500",
2018/06/26,現金,"15,300",好日居教室,"15,300",
2018/06/26,消耗品費,"130",クレジットカード,"130",ソフトウェア ストレージプラン Apple
2018/06/26,金継仕事材料代・教室運営消耗品費,"3,035",クレジットカード,"3,035",カッターナイフ
2018/06/26,旅費交通費,"1,960",クレジットカード,"1,960",タクシー代
2018/06/27,旅費交通費,"1,880",クレジットカード,"1,880",タクシー代
2018/06/27,現金,"23,800",好日居教室,"23,800",
2018/06/28,接待交際費,"990",現金,"990",会食 エフスタイル 京都タワー地下
2018/06/28,接待交際費,"360",現金,"360",会食 エフスタイル 京都タワー地下
2018/06/28,消耗品費,"1,231",現金,"1,231",事務用品 ハガキ、マッチ cocon烏丸3F
2018/06/28,旅費交通費,"1,320",現金,"1,320",バス代
2018/06/28,会議費(打合せ),"4,968",現金,"4,968",打ち合わせ エフスタイル とらや
2018/06/28,旅費交通費,"920",現金,"920",タクシー代
2018/06/30,旅費交通費,"600",クレジットカード,"600",タクシー代
2018/06/30,旅費交通費,"760",クレジットカード,"760",タクシー代
2018/06/30,美術館・お寺観覧代・器など(取材・研究費),"1,500",現金,"1,500",ベーさん美沙ちゃんマヤルカライブ入場料
2018/06/30,接待交際費,"2,753",クレジットカード,"2,753",土産代 大井さんち金継ぎワイン
2018/06/30,通信費,"8,844",クレジットカード,"8,844",iphone 80%
2018/07/02,金継仕事材料代・教室運営消耗品費,"4,968",普通預金(振込など),"4,968",金継ぎ関係 中塚金属 錫分、毛棒
2018/07/02,金継仕事材料代・教室運営消耗品費,"237",現金,"237",金継ぎ関係 カッター替刃 
2018/07/02,美術館・お寺観覧代・器など(取材・研究費),"21,240",クレジットカード,"21,240",8/11分 伊丹から成田 航空チケット代 ミャンマーへ
2018/07/02,接待交際費,"5,119",クレジットカード,"5,119",エフスタイルへアイス贈答
2018/07/03,接待交際費,"648",現金,"648",土産代 エフスタイルへ 黒七味
2018/07/03,旅費交通費,"770",現金,"770",タクシー代
2018/07/03,消耗品費,"3,174",現金,"3,174",事務用品 小物ツール D2
2018/07/03,接待交際費,"5,400",クレジットカード,"5,400",土産代 金継ぎ関係 ドライフルーツ
2018/07/04,漆教室代(研究費),"15,000",現金,"15,000",
2018/07/05,新聞図書費 ,"486",クレジットカード,"486",英会話タイムトライアルテキスト amazon
2018/07/05,消耗品費,"2,386",クレジットカード,"2,386",事務用品 出金伝票、インクカートリッジ 楽天
2018/07/05,荷造運賃,"1,635",現金,"1,635",発送料 東京出張荷物
2018/07/06,旅費交通費,"2,000",現金,"2,000",電車代 pasmoチャージ
2018/07/06,旅費交通費,"5,000",現金,"5,000",電車代 pasmoチャージ
2018/07/06,旅費交通費,"10,900",クレジットカード,"10,900",新幹線代 京都→新横浜
2018/07/06,現金,"12,000",その他個人宅訪問金継,"12,000",大井さんち
2018/07/07,接待交際費,"2,500",現金,"2,500",高砂先生へお中元 赤ワイン 徳竹より
2018/07/07,旅費交通費,"1,270",現金,"1,270",タクシー代
2018/07/07,旅費交通費,"910",現金,"910",タクシー代
2018/07/07,現金,"42,500",その他個人宅訪問金継,"42,500",徳竹さんち
2018/07/08,接待交際費,"7,582",現金,"7,582",会食 高砂先生とサイアム食堂
2018/07/08,現金,"44,000",壺中教室,"44,000",
2018/07/09,旅費交通費,"5,000",現金,"5,000",電車代 pasmoチャージ
2018/07/09,現金,"28,500",壺中教室,"28,500",
2018/07/09,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち
2018/07/09,現金,"1,000",金継ぎ材料・道具等販売,"1,000",菅さん 代用筆2本 
2018/07/10,旅費交通費,"5,480",普通預金(引き落とし),"5,480",電車代 pitapa
2018/07/10,支払手数料,"108",普通預金(引き落とし),"108",通知書発行料 pitapa
2018/07/10,旅費交通費,"1,050",現金,"1,050",タクシー代
2018/07/10,旅費交通費,"1,050",現金,"1,050",タクシー代
2018/07/10,荷造運賃,"1,477",現金,"1,477",発送料 東京出張荷物
2018/07/10,消耗品費,"1,500",クレジットカード,"1,500",事務用品 無印書類ケース２つ
2018/07/11,雑費,"1,320",現金,"1,320",好日居教室用茶菓子 ミルクケーキ
2018/07/11,現金,"10,000",自宅金継仕事,"10,000",nowakiさん
2018/07/12,旅費交通費,"11,000",クレジットカード,"11,000",新幹線代 東京→京都
2018/07/13,水道光熱費,"771",クレジットカード,"771",ガス代 20%
2018/07/13,水道光熱費,"1,285",クレジットカード,"1,285",水道代 20%
2018/07/14,金継仕事材料代・教室運営消耗品費,"603",現金,"603",金継ぎ関係 カッターナイフと替刃
2018/07/14,旅費交通費,"924",現金,"924",バス代
2018/07/14,消耗品費,"1,673",現金,"1,673",事務用品 マグネット、セロテープ、書類ケース
2018/07/14,雑費,"3,060",現金,"3,060",場所代 楽器練習カラオケボックス部屋代
2018/07/14,雑費,"4,317",普通預金(振込など),"4,317",弁当代 広栄ミート
2018/07/17,消耗品費,"600",クレジットカード,"600",ソフトウェア taxnote Apple
2018/07/17,雑費,"12,743",普通預金(振込など),"12,743",弁当代 好日居教室用
2018/07/17,消耗品費,"600",クレジットカード,"600",Taxnote使用料
2018/07/18,旅費交通費,"1,400",クレジットカード,"1,400",タクシー代
2018/07/18,旅費交通費,"1,320",現金,"1,320",タクシー代
2018/07/18,会議費(打合せ),"5,200",現金,"5,200",打ち合わせ ユーゲライブ打ち合わせ
2018/07/18,消耗品費,"1,300",現金,"1,300",来客用お茶、直コーヒー豆
2018/07/18,接待交際費,"2,538",普通預金(振込など),"2,538",贈答品・エフスタイル コンビーフ
2018/07/20,水道光熱費,"1,888",クレジットカード,"1,888",電気代 50%
2018/07/20,会議費(打合せ),"4,000",現金,"4,000",ユーゲライブ打ち合わせ
2018/07/20,金継仕事材料代・教室運営消耗品費,"2,720",クレジットカード,"2,720",金継ぎ関係 エフスタイル 金継ぎ時お菓子 中村軒
2018/07/21,現金,"34,000",ギター教室は別の帳簿に記録する！,"34,000",ユーゲライブ参加費20人分
2018/07/21,金継仕事材料代・教室運営消耗品費,"30,000",現金,"30,000",ギター教室 ユーゲライブ演奏代
2018/07/21,雑費,"10,650",現金,"10,650",イベント消耗費 ユーゲライブ先生、スタッフ飲食代
2018/07/22,金継仕事材料代・教室運営消耗品費,"365",現金,"365",金継ぎ関係 好日居教室用サランラップ
2018/07/22,地代家賃,"50,000",普通預金(振込など),"50,000",事務所家賃 50%
2018/07/22,旅費交通費,"1,810",現金,"1,810",タクシー代
2018/07/22,雑費,"9,837",クレジットカード,"9,837",好日居教室弁当代 フレンドフード食材
2018/07/23,旅費交通費,"1,640",クレジットカード,"1,640",タクシー代
2018/07/23,現金,"10,200",好日居教室,"10,200",
2018/07/24,現金,"45,000",ギター教室は別の帳簿に記録する！,"45,000",ギター教室プライベートレッスン9名分収入
2018/07/24,金継仕事材料代・教室運営消耗品費,"36,000",現金,"36,000",ギター教室高砂先生講師代
2018/07/24,金継仕事材料代・教室運営消耗品費,"4,500",現金,"4,500",場所代 ギター教室好日居
2018/07/24,旅費交通費,"1,560",現金,"1,560",タクシー代
2018/07/24,雑費,"1,343",現金,"1,343",弁当代 好日居教室用
2018/07/24,金継仕事材料代・教室運営消耗品費,"213",現金,"213",金継ぎ関係 好日居教室用テッシュ
2018/07/24,旅費交通費,"1,800",現金,"1,800",タクシー代
2018/07/24,通信費,"4,848",クレジットカード,"4,848",NTT西日本 80%
2018/07/24,現金,"11,900",好日居教室,"11,900",
2018/07/25,旅費交通費,"1,960",クレジットカード,"1,960",タクシー代
2018/07/25,現金,"11,900",好日居教室,"11,900",
2018/07/25,現金,"4,200",金継ぎ材料・道具等販売,"4,200",菊池怜子さん金蒔きセット
2018/07/26,新聞図書費 ,"486",クレジットカード,"486",英会話タイムトライアルテキスト
2018/07/26,旅費交通費,"1,650",現金,"1,650",バス代
2018/07/26,金継仕事材料代・教室運営消耗品費,"21,600",クレジットカード,"21,600",金継ぎ関係 運搬用鞄 kit
2018/07/26,消耗品費,"130",クレジットカード,"130",ソフトウェア ストレージプラン Apple
2018/07/26,金継仕事材料代・教室運営消耗品費,"3,600",クレジットカード,"3,600",ギター教室茶菓子代 maka
2018/07/27,荷造運賃,"1,585",現金,"1,585",発送料
2018/07/28,旅費交通費,"2,040",現金,"2,040",タクシー代
2018/07/29,接待交際費,"2,500",現金,"2,500",会食 エフスタイル  会食
2018/07/29,現金,"21,600",エフスタイル教室,"21,600",
2018/07/29,現金,"2,100",金継ぎ材料・道具等販売,"2,100",エフ 岡田英樹さんスズ蒔きセット
2018/07/29,旅費交通費,"1,570",現金,"1,570",タクシー代
2018/07/30,荷造運賃,"700",現金,"700",発送料 新潟出張荷物
2018/07/30,現金,"25,300",エフスタイル教室,"25,300",
2018/07/30,現金,"500",金継ぎ材料・道具等販売,"500",エフ 寺尾さん 塗筆
2018/07/31,通信費,"9,930",現金,"9,930",iphone 80%
2018/08/01,漆教室代(研究費),"17,000",現金,"17,000",
2018/08/01,金継仕事材料代・教室運営消耗品費,"1,004",クレジットカード,"1,004",金継ぎ関係 接着剤 岩内金物店楽天
2018/08/02,荷造運賃,"915",現金,"915",発送料 ANA書類忘れ着払い
2018/08/05,旅費交通費,"1,287",現金,"1,287",バス代
2018/08/05,美術館・お寺観覧代・器など(取材・研究費),"2,767",クレジットカード,"2,767",yangon airport hotel 私の1泊分宿泊費
2018/08/06,接待交際費,"6,048",クレジットカード,"6,048",贈答品 大井さん椹木さんへモレスキンのノート
2018/08/06,水道光熱費,"289",クレジットカード,"289",ガス代 20%
2018/08/06,金継仕事材料代・教室運営消耗品費,"306",現金,"306",金継ぎ関係 サランラップ 
2018/08/06,金継仕事材料代・教室運営消耗品費,"1,213",現金,"1,213",金継ぎ関係 無水エタノール
2018/08/06,消耗品費,"2,070",現金,"2,070",事務用品 ppスタンドファイルボックス3個 無印
2018/08/06,金継仕事材料代・教室運営消耗品費,"3,990",現金,"3,990",金継ぎ関係 運搬用袋 無印
2018/08/06,金継仕事材料代・教室運営消耗品費,"777",現金,"777",金継ぎ関係 ピンセット2ケ
2018/08/07,消耗品費,"2,592",クレジットカード,"2,592",日用品 石鹸2個 ヨーガンレール 
2018/08/09,漆教室代(研究費),"3,110",現金,"3,110",荷物送料 家→yangon空港
2018/08/09,消耗品費,"5,452",クレジットカード,"5,452",事務用品 付箋紙、テープ類、スケジュール帳 楽天
2018/08/09,消耗品費,"6,048",クレジットカード,"6,048",事務用品 モレスキン ノート
2018/08/10,旅費交通費,"6,100",普通預金(引き落とし),"6,100",電車代 pitapa
2018/08/10,支払手数料,"108",普通預金(引き落とし),"108",通知書発行料 pitapa
2018/08/11,美術館・お寺観覧代・器など(取材・研究費),"1,640",クレジットカード,"1,640",タクシー代 自宅→阪急河原町 ミャンマーへ
2018/08/12,美術館・お寺観覧代・器など(取材・研究費),"1,800",現金,"1,800",研究取材の旅 bagan入域料
2018/08/15,現金,"16,000",自宅金継仕事,"16,000",東北新社山村哲さん振込み
2018/08/17,消耗品費,"600",クレジットカード,"600",ソフトウェア taxnote Apple
2018/08/18,美術館・お寺観覧代・器など(取材・研究費),"4,300",クレジットカード,"4,300",ヤンゴン マンゴーヒルイン1泊私分の宿泊費
2018/08/19,美術館・お寺観覧代・器など(取材・研究費),"2,470",クレジットカード,"2,470",ミャンマー 成田→自宅 荷物配送
2018/08/19,美術館・お寺観覧代・器など(取材・研究費),"3,220",クレジットカード,"3,220",ミャンマー 成田→東京 成田エクスプレス交通費
2018/08/19,美術館・お寺観覧代・器など(取材・研究費),"12,830",クレジットカード,"12,830",ミャンマー 東京→京都 新幹線代
2018/08/19,新聞図書費 ,"486",クレジットカード,"486",英会話タイムトライアルテキスト
2018/08/22,消耗品費,"2,700",クレジットカード,"2,700",事務用品 スケジュール帳
2018/08/23,水道光熱費,"3,126",現金,"3,126",電気代 50%
2018/08/23,地代家賃,"50,000",普通預金(振込など),"50,000",事務所家賃 50%
2018/08/24,旅費交通費,"924",クレジットカード,"924",バス代
2018/08/24,荷造運賃,"1,239",クレジットカード,"1,239",発送料 千夏ちゃん台湾茶器蓋繕い
2018/08/24,接待交際費,"2,646",クレジットカード,"2,646",贈答品・大井さん、千夏ちゃんへ削り節や飴
2018/08/24,通信費,"4,890",クレジットカード,"4,890",NTT西日本 80%
2018/08/28,接待交際費,"3,000",現金,"3,000",贈答品・直コーヒーのコーヒー豆 大井さん、植村さん、壺中
2018/08/29,荷造運賃,"1,585",現金,"1,585",発送料 東京出張荷物
2018/08/31,通信費,"11,233",現金,"11,233",iphone 80%
2018/09/01,旅費交通費,"11,000",現金,"11,000",新幹線代 京都→東京
2018/09/01,旅費交通費,"5,000",現金,"5,000",電車代 pasmoチャージ
2018/09/01,消耗品費,"356",現金,"356",事務用品 ノート 蛍光ペン
2018/09/01,消耗品費,"307",現金,"307",事務用品 布テープ
2018/09/01,現金,"26,000",その他個人宅訪問金継,"26,000",徳竹さんち
2018/09/02,旅費交通費,"500",現金,"500",電車代 pasmoチャージ
2018/09/02,新聞図書費 ,"931",クレジットカード,"931",「毎日の英単語」Amazon
2018/09/02,現金,"55,000",壺中教室,"55,000",
2018/09/03,旅費交通費,"5,000",現金,"5,000",電車代 pasmoチャージ
2018/09/03,現金,"22,000",壺中教室,"22,000",
2018/09/03,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち
2018/09/04,現金,"12,000",その他個人宅訪問金継,"12,000",大井さんち
2018/09/05,荷造運賃,"1,585",現金,"1,585",発送料 東京出張
2018/09/05,旅費交通費,"12,180",クレジットカード,"12,180",新幹線代 新横浜→京都
2018/09/05,漆教室代(研究費),"15,000",現金,"15,000",
2018/09/05,金継仕事材料代・教室運営消耗品費,"5,616",現金,"5,616",金継ぎ関係 漆、塗筆、プラスチックへら 加藤小兵衞
2018/09/06,金継仕事材料代・教室運営消耗品費,"231",現金,"231",金継ぎ関係 サランラップ
2018/09/06,水道光熱費,"320",クレジットカード,"320",ガス代 20%
2018/09/07,金継仕事材料代・教室運営消耗品費,"157",現金,"157",金継ぎ関係 薄力粉
2018/09/07,荷造運賃,"1,585",現金,"1,585",発送料 新潟出張荷物
2018/09/08,接待交際費,"4,104",クレジットカード,"4,104",贈答品・関さんへ仁井田本家日本酒
2018/09/09,現金,"29,700",エフスタイル教室,"29,700",
2018/09/10,旅費交通費,"2,020",普通預金(引き落とし),"2,020",電車代pitapa
2018/09/10,接待交際費,"3,000",現金,"3,000",Fと会食 新潟 タイファイフード 
2018/09/10,金継仕事材料代・教室運営消耗品費,"213",現金,"213",金継ぎ関係 新潟教室 ティッシュ
2018/09/10,現金,"2,100",金継ぎ材料・道具等販売,"2,100",高澤智美さん錫蒔きセット
2018/09/10,現金,"21,600",エフスタイル教室,"21,600",
2018/09/10,現金,"1,000",金継ぎ材料・道具等販売,"1,000",代用筆2本 坂上恵さん
2018/09/10,現金,"5,000",エフスタイル教室,"5,000",谷本さん器金継ぎ引き継ぎ
2018/09/10,荷造運賃,"600",現金,"600",発送料 新潟出張荷物
2018/09/10,接待交際費,"8,950",現金,"8,950",贈答品 francineにエフスタイルの和紙ファイルや風呂敷
2018/09/10,旅費交通費,"13,353",クレジットカード,"13,353","伊丹新潟飛行機代2019'1/13,15日分"
2018/09/12,金継仕事材料代・教室運営消耗品費,"1,944",現金,"1,944",金継ぎ関係 線書き筆 計6本
2018/09/12,接待交際費,"17,820",クレジットカード,"17,820",贈答品・ヨーガンレール のタオル青ちゃん幸枝さん結婚祝い 大井さん誕生日祝い 
2018/09/13,接待交際費,"2,380",クレジットカード,"2,380",土産代 大井さんちに白ワイン1本
2018/09/13,水道光熱費,"909",クレジットカード,"909",水道代 20%
2018/09/15,旅費交通費,"1,485",現金,"1,485",バス代
2018/09/15,金継仕事材料代・教室運営消耗品費,"216",現金,"216",金継ぎ関係 チャック付きパック、徳竹さん用布切り鋏 Can Do
2018/09/15,消耗品費,"80",現金,"80",事務用品 ノート 無印
2018/09/15,金継仕事材料代・教室運営消耗品費,"7,408",現金,"7,408",金継ぎ関係 金、錫粉、あしらい毛棒 中塚金属より
2018/09/15,地代家賃,"50,000",現金,"50,000",事務所家賃 50%
2018/09/15,接待交際費,"29,100",現金,"29,100",お中元 9件分 桃代 佐藤公一
2018/09/15,接待交際費,"34,600",現金,"34,600",贈答品・6件分さくらんぼ代佐藤公一
2018/09/16,消耗品費,"600",クレジットカード,"600",taxnote
2018/09/17,旅費交通費,"1,560",現金,"1,560",タクシー代
2018/09/17,現金,"2,100",金継ぎ材料・道具等販売,"2,100",高橋佳予子さん錫蒔きセット
2018/09/17,現金,"18,700",好日居教室,"18,700",
2018/09/18,現金,"22,100",好日居教室,"22,100",
2018/09/19,現金,"23,800",好日居教室,"23,800",
2018/09/20,雑費,"7,412",普通預金(振込など),"7,412",弁当代 ギター教室 高橋畜産
2018/09/20,旅費交通費,"1,800",クレジットカード,"1,800",タクシー代
2018/09/21,雑費,"1,010",現金,"1,010",弁当代 好日居教室 弁当 セブンイレブン
2018/09/21,水道光熱費,"2,528",クレジットカード,"2,528",電気代 50%
2018/09/22,接待交際費,"1,296",クレジットカード,"1,296",土産代 エフスタイルに坂の途中の甘夏ジュース
2018/09/22,雑費,"623",現金,"623",弁当代 好日居教室弁当セブンイレブン
2018/09/23,雑費,"10,500",現金,"10,500",イベント消耗費 弁当代
2018/09/23,雑費,"4,400",現金,"4,400",イベント消耗費 ジョアン部用ドリンク代
2018/09/24,会議費(打合せ),"2,950",現金,"2,950",打ち合わせ 高砂先生打合せ
2018/09/24,雑費,"7,500",現金,"7,500",イベント消耗費 ジョアン部弁当代 millet
2018/09/24,旅費交通費,"1,880",クレジットカード,"1,880",タクシー代
2018/09/24,雑費,"4,400",現金,"4,400",イベント消耗費 ジョアン部ドリンク代
2018/09/25,消耗品費,"74,001",現金,"74,001",PC関係 iPhonexs、充電ケーブル 50%分
2018/09/25,通信費,"4,876",クレジットカード,"4,876",NTT西日本 80%
2018/09/25,地代家賃,"55,400",普通預金(振込など),"55,400",貸家再契約料
2018/09/27,消耗品費,"2,130",クレジットカード,"2,130",事務用品 スケール ヨドバシカメラ京都店
2018/09/28,荷造運賃,"1,585",現金,"1,585",発送料 東京出張
2018/09/29,旅費交通費,"13,383",クレジットカード,"13,383",飛行機代 伊丹⇄新潟 1/13、15分
2018/09/29,旅費交通費,"11,000",クレジットカード,"11,000",新幹線代 京都→東京
2018/09/29,旅費交通費,"5,000",現金,"5,000",電車代 pasmoチャージ
2018/09/29,消耗品費,"139",現金,"139",事務用品 ノート セブンイレブン
2018/09/29,現金,"20,500",その他個人宅訪問金継,"20,500",徳竹さんち
2018/09/30,旅費交通費,"730",現金,"730",タクシー代
2018/09/30,通信費,"10,797",クレジットカード,"10,797",iphone 80%
2018/09/30,美術館・お寺観覧代・器など(取材・研究費),"10,286",クレジットカード,"10,286",研究取材の旅 esta申請 
2018/10/01,現金,"16,500",壺中教室,"16,500",
2018/10/01,現金,"20,000",その他個人宅訪問金継,"20,000",高堂さんち
2018/10/02,荷造運賃,"1,585",現金,"1,585",発送料 東京出張荷物
2018/10/02,旅費交通費,"10,900",クレジットカード,"10,900",新幹線代 新横浜駅→京都
2018/10/02,旅費交通費,"2,000",現金,"2,000",電車代 pasmoチャージ
2018/10/02,現金,"16,000",その他個人宅訪問金継,"16,000",大井さんち
2018/10/03,雑費,"957",現金,"957",イベント消耗費 kit周年芋煮会材料 フレンドフード
2018/10/03,接待交際費,"3,325",現金,"3,325",土産代 francineに日本のお土産 蕎麦、お茶 フレンドフード
2018/10/03,接待交際費,"972",クレジットカード,"972",土産代 エフスタイルにラオスのコーヒー豆
2018/10/04,水道光熱費,"652",クレジットカード,"652",ガス代 20%
2018/10/05,荷造運賃,"1,585",現金,"1,585",新潟出張荷物
2018/10/06,雑費,"546",現金,"546",金継ぎ写真プリントアウト カメラのキタムラ
2018/10/06,消耗品費,"658",現金,"658",事務用品 プリンタ光沢紙 edion
2018/10/06,金継仕事材料代・教室運営消耗品費,"474",クレジットカード,"474",金継ぎ関係 接着剤 クイック5 楽天
2018/10/07,現金,"1,000",金継ぎ材料・道具等販売,"1,000",阿部麻由さん 塗り筆2本
2018/10/07,現金,"25,300",エフスタイル教室,"25,300",
2018/10/07,接待交際費,"5,000",現金,"5,000",会食 新潟ビスチャエフスタイルと
2018/10/08,荷造運賃,"1,200",現金,"1,200",発送料 新潟出張荷物
2018/10/08,現金,"5,400",エフスタイル教室,"5,400",
2018/10/08,荷造運賃,"1,200",現金,"1,200",発送料
2018/10/09,接待交際費,"2,214",クレジットカード,"2,214",土産代 フランシーヌに日本のお土産たねや和菓子
2018/10/09,接待交際費,"1,674",クレジットカード,"1,674",土産代フランシーヌに抹茶 小山園
2018/10/09,接待交際費,"324",現金,"324",土産代 フランシーヌにおかき 高島屋
2018/10/09,旅費交通費,"990",現金,"990",バス代
2018/10/09,消耗品費,"2,203",現金,"2,203",事務用品 たわし 半紙
2018/10/10,旅費交通費,"2,310",普通預金(引き落とし),"2,310",電車代 pitapa
2018/10/10,接待交際費,"4,105",普通預金(振込など),"4,105",贈答品・あこどん誕生日お肉 高橋畜産
2018/10/10,雑費,"5,130",普通預金(振込など),"5,130",イベント消耗費 10/12kit周年芋煮会用肉 高橋畜産
2018/10/11,接待交際費,"1,780",現金,"1,780",土産代 フランシーヌに日本のお土産 北山マールブランシェのチョコレート
2018/10/12,旅費交通費,"1,160",現金,"1,160",タクシー代
2018/10/12,金継仕事材料代・教室運営消耗品費,"13,446",普通預金(振込など),"13,446",金継ぎ関係 中塚金属 金、錫粉、毛棒
2018/10/12,地代家賃,"50,000",普通預金(振込など),"50,000",事務所家賃 50%
2018/10/13,雑費,"8,586",普通預金(振込など),"8,586",イベント消耗費kit6周年芋煮会森の家食材代
2018/10/13,金継仕事材料代・教室運営消耗品費,"267",現金,"267",金継ぎ関係 サランラップ
2018/10/13,消耗品費,"160",現金,"160",日用品 ゴミ袋 コープ
2018/10/13,消耗品費,"86",現金,"86",事務用品 サインペン
2018/10/15,旅費交通費,"1,720",クレジットカード,"1,720",タクシー代
2018/10/15,金継仕事材料代・教室運営消耗品費,"604",現金,"604",金継ぎ関係 マスキングテープ
2018/10/15,現金,"27,200",好日居教室,"27,200",
2018/10/15,現金,"1,000",金継ぎ材料・道具等販売,"1,000",大和まこさん塗り筆2本
2018/10/15,現金,"2,100",金継ぎ材料・道具等販売,"2,100",菊池怜子さん錫蒔きセット
2018/10/16,現金,"113,000",自宅金継仕事,"113,000",緒方さん
2018/10/16,現金,"500",金継ぎ材料・道具等販売,"500",森川さん塗り筆1本
2018/10/16,現金,"28,900",好日居教室,"28,900",
2018/10/17,旅費交通費,"610",現金,"610",タクシー代
2018/10/17,旅費交通費,"1,880",現金,"1,880",タクシー代
2018/10/17,消耗品費,"600",クレジットカード,"600",ソフトウェアtaxnote
2018/10/17,現金,"23,800",好日居教室,"23,800",
2018/10/18,租税公課,"1,000",現金,"1,000",収入印紙200円を5枚
2018/10/18,金継仕事材料代・教室運営消耗品費,"1,836",現金,"1,836",金継ぎ関係 黒漆艶消 加藤小兵衞商店
2018/10/18,接待交際費,"1,800",現金,"1,800",打ち合わせ 直しコーヒー
2018/10/18,現金,"2,000",自宅金継仕事,"2,000",直コーヒー
2018/10/19,水道光熱費,"1,610",クレジットカード,"1,610",電気代 50%
2018/10/20,新聞図書費 ,"486",クレジットカード,"486",英会話タイムトライアルテキスト
2018/10/23,旅費交通費,"1,254",現金,"1,254",バス代
2018/10/23,消耗品費,"190",現金,"190",事務用品 無印糊
2018/10/25,消耗品費,"130",クレジットカード,"130",ソフトウェア icloudストレージ
2018/10/25,荷造運賃,"9,880",現金,"9,880",発送料 成田空港往復便
2018/10/25,消耗品費,"890",クレジットカード,"890",日用品 ボタン電話 Amazon
2018/10/28,旅費交通費,"12,830",クレジットカード,"12,830",新幹線代 京都から東京
2018/10/28,旅費交通費,"3,020",クレジットカード,"3,020",電車代 東京から成田空港
2018/10/31,通信費,"7,646",クレジットカード,"7,646",iphone 80%
2018/10/31,通信費,"7,646",クレジットカード,"7,646",iphone 80%
2018/11/04,接待交際費,"870",現金,"870",土産代 アルゼンチン 石鹸 金継ぎ生徒さんへ
2018/11/07,水道光熱費,"584",クレジットカード,"584",ガス代 20%
2018/11/12,旅費交通費,"3,360",普通預金(引き落とし),"3,360",電車代pitapa
2018/11/12,接待交際費,"6,111",クレジットカード,"6,111",土産代 アルゼンチン チョコレート 金継ぎ教室とギター教室へ
2018/11/13,接待交際費,"3,350",クレジットカード,"3,350",土産代 好日居へマテ茶用ストロー
2018/11/15,水道光熱費,"1,160",クレジットカード,"1,160",水道代 20%
